tiktoker name,tiktok name,followers,views(avg.),likes(avg.),comments(avg.),shares(avg.)
maylathanzin,maylathanzin,1.9m,3.5m,417.6k,1.2k,4.7k
zuuzina,👽,1.2m,2.7m,342.4k,4.2k,5.1k
jennifergarner,jen garner,2.1m,3.4m,315k,5.6k,2.4k
seventeen17_official,seventeen,3.9m,1.5m,375.9k,11.1k,4.1k
meosimmyyt,mèo simmy,3.9m,2.7m,367.1k,7.1k,1.5k
mariabecerra_22,maria becerra,6.1m,3.2m,553.9k,3.6k,1.2k
frostech,frostech,321k,3.4m,411k,1.5k,4.6k
p0_2,مشاري بن عبدالعزيز  -,1.7m,4.9m,233.7k,6k,1.5k
joelbergs,joelbergs,11.2m,3.4m,636.3k,1.7k,2.2k
euro2024,euro2024,6.8m,2.5m,407.3k,2.9k,5.4k
daz_black,daz_black,7m,2.3m,506.4k,4.3k,2.9k
claragnds,maria clara garcia,16m,2.8m,401.5k,5.2k,2.1k
desartdestro,desartdestro,7.8m,5.4m,368.3k,2k,2.1k
camilacabello,camila cabello,15.3m,5.2m,321.8k,2.8k,2k
berkcoskunofficial,berk coşkun,3.5m,5.6m,194.2k,2.9k,4.5k
ser.geybin,ser geybin,1.7m,3.8m,383.5k,2.2k,3.3k
anthpo,anthony po,688.3k,1.7m,414.2k,4.7k,6.9k
erikarichardo,erika,7.9m,4.6m,578.7k,2.5k,472
thegnshow,the graham norton show,1.2m,4.9m,491k,807,2.5k
cx_.q,مصطفى البصراوي 62,2.1m,3.9m,234.7k,3.1k,5.4k
owen.han,mangiamoh,1.5m,4.8m,376.2k,1.2k,3.1k
keniaos,keniaos,13.7m,2.2m,371.2k,7.5k,2k
angryreactions,oneya d’amelio,25.8m,2.8m,406.2k,6.2k,680
saraecheagaray,sara,7m,3.6m,700.7k,2k,1k
ana_eusse,ana maria,10.5m,4.4m,665.5k,2.1k,560
ani__mel,melody 🌱,798.6k,1.9m,359.7k,2.7k,8.5k
julianjacob,julian jacob,1.2m,3.8m,496.5k,2.4k,1.6k
averywit,avery,1m,5.4m,724.1k,1.6k,293
buithanhtuyen2003,𝐓𝐮𝐲𝐞̂̀𝐧 𝐗𝐮 𝐓𝐕 💦,1.8m,1.6m,228.8k,18.5k,1.9k
emilythetrimmer,emily mohring,492.6k,5.8m,267.9k,1.7k,3.1k
fabru_blacutt,fabru,17m,5.3m,544.8k,1.9k,642
yoangelolo,angelo bahu,1.2m,2.4m,224.3k,12.2k,1.5k
virginiafonseca,virginia,30.6m,4.4m,566.4k,2.3k,679
haritsuuu,ハリツ🌿極,1.3m,4.1m,158.1k,4.9k,6.4k
thekapelariz,the kapelari family,1.1m,2.8m,464.2k,3.5k,2.1k
camavinga,eduardo camavinga,1m,3.3m,522.3k,2.5k,1.6k
feezius,feezius,2.1m,4m,525.8k,2.8k,654
lights.are.off,lights are off,18.7m,2.9m,292.7k,6.3k,2.1k
benjaminmaissecret,benjamin,174.4k,7m,39.2k,24k,1.7k
calebrownn,cale brown,5m,2.7m,459.5k,1.5k,4.2k
realuser_1,jrm,1.6m,4.1m,411.5k,2.5k,1.7k
anas_elshayib,انس الشايب,3.6m,4.6m,194k,6.1k,1.8k
caleb.finn,ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,15.2m,3.5m,691.5k,2.5k,428
hi_arvans,arvanss,201.4k,1.3m,320.3k,1.2k,15.5k
theestallion,megan thee stallion,10.9m,1.9m,499.7k,4.4k,2.9k
rubentuestaok,ruben tuesta,12.3m,4.5m,418.3k,1.1k,2.6k
kingbach,kingbach,26.3m,3.1m,582.2k,1.8k,2k
rdcworld1,mark phillips,2.8m,1.8m,336k,2.3k,9.1k
anna..paull,anna paul,3m,2.8m,655.6k,2.9k,838
drewafualo,drew afualo,6.8m,2.2m,446.5k,5.1k,2.1k
scottkress_,scottkress,2.9m,1.5m,402.7k,7.4k,4.1k
dixiedamelio,dixie,57.2m,4.4m,275.2k,4.6k,1.1k
nianaguerrero,niana guerrero,30.5m,3.2m,493k,2.7k,1.7k
benoftheweek,ben de almeida,10.6m,3.5m,512.8k,3.1k,722
maiaknight,maia knight,8.1m,3.5m,628.8k,2.5k,647
theovon,theo von,1.4m,2.4m,230.6k,2.7k,9.8k
abbieherbert,abbieherbert,12.2m,4.6m,619.2k,1.6k,772
yazidoe,yazidoe,958.9k,2m,297.4k,2.8k,8.4k
loewhaley,laura,1.4m,2.5m,232k,1.2k,10.6k
georgieanthony,georgie munoz,2.2m,1.8m,294.3k,3k,9.5k
.blue_devil,why not ? ✧,941.9k,4.8m,486.4k,1.5k,1.3k
ya_gazdanova,нина газданова,3.4m,3.7m,184k,932,8.8k
piperrockelle,piperrockelle,9m,2.4m,275.4k,9.3k,517
incorrectlyroce,roce ordoñez,5m,3.1m,499.5k,1.9k,2.2k
wayeelkaboy10,wayeelka boy10,852.4k,3.7m,169.6k,5.6k,4.3k
joaoferdnan,joão ferdnan,7.4m,2m,238.5k,4.2k,9.1k
simpleputin,просто путин,6m,3.1m,157.9k,10.6k,2.2k
chapaevva,чапаева,1.9m,3.8m,347.7k,2.9k,1.7k
lyna_com,lyna_com2000,4.4m,3.4m,451.3k,3k,1.1k
arigameplays,arigameplays,19.3m,2.6m,444.6k,4.5k,915
tommyinnit,tommy,11.5m,1.5m,432.1k,7.6k,1.9k
arigameplays,arigameplays,19.3m,2.6m,444.6k,4.5k,915
tommyinnit,tommy,11.5m,1.5m,432.1k,7.6k,1.9k
alexisomman,alexis omman,9.2m,1.6m,330k,5.1k,6.5k
samadhiza_,samadhiza,7.4m,3.7m,418.3k,2.1k,1.8k
joerauth_,joe rauth,4.9m,2.9m,463k,1.6k,2.9k
danielarodrice,daniela rodrice,9.9m,4.2m,735.7k,1.5k,391
official_kep1er,kep1er,3.5m,1.8m,395k,5.5k,2.7k
sucss.s,açucena guirra,9.7m,2.6m,468.1k,3k,1.9k
veydi_rush,veydi_rush,8m,2.9m,456.8k,2.6k,1.8k
davidsiwonchoi,최시원 • siwon choi,1.9m,1.3m,314.3k,8.6k,5.6k
livvy,olivia dunne,5.1m,2.7m,316k,4.9k,1.8k
catherineealicia,catheez,1.3m,2.3m,306.4k,5.9k,2.2k
bonjee,bonjee,1.8m,1.8m,382.9k,2.5k,5.9k
tuckercomedy,tucker reynolds,2m,1.6m,225.2k,2.9k,12.7k
jennifer_aplicano,jennifer aplícano,1m,2.5m,248.5k,3.7k,5.4k
qonitcah,qonitcah | health education,1.4m,3.1m,277.5k,4.4k,2k
carolcastromx,carol castro,9.7m,3.4m,564.2k,2.4k,508
vorostwins,vorostwins,2.6m,2.7m,344.1k,3.8k,2.1k
tiagodionisio,tiago_dionisio,5.5m,2.4m,227k,1.1k,8.9k
magic_daniell,magic daniell,9m,4.5m,503.4k,2k,427
3tl.team,3tl,1.6m,4.4m,380.9k,2.7k,493
nessaabarrett,nessa barrett,17.9m,2.8m,338.2k,3.8k,2k
saeemm2002,samantha ancheta,4.1m,1.8m,396.9k,4k,3.6k
nate.dawg.com,nate dawg,230.2k,2.4m,434.5k,3.3k,1.9k
larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,2.6m,2.9m,489.4k,2.4k,1.3k
xshueur,ғᴇᴇʟɪɴɢ,256.6k,2.4m,186k,0,11.7k
cleanpuppy,chloe cherry,1.7m,3.6m,617.4k,1.7k,612
tootymcnooty,tootymcnooty,7.3m,1.5m,401.1k,2.2k,6.4k
miakhalifa,mia k.,32.5m,3.7m,340.3k,3.5k,644
notraymodeli,modeli,1.9m,1.8m,404.3k,2.7k,4.3k
axelwebber,axel,4.2m,2.4m,544.7k,3.4k,522
baebyshaa,shalynne,324.6k,3m,650.3k,1.4k,1.2k
momonatamada,momona tamada,3.7m,2.7m,489.4k,3.3k,473
nikkietutorials,nikkietutorials,5.1m,4.3m,536.6k,1.2k,987
spicyycam_,spicy cam,18.2m,3.5m,428.1k,3k,295
sa_ro01,sara💜,3.4m,3.3m,265.9k,4.6k,1.1k
