name,followers,engagement_avg,platform
c.syresmith,186000000,0.010220430107526882,Instagram
camerondallas,23000000,0.04556521739130435,Instagram
camila_cabello,609000000,0.0050147783251231525,Instagram
camilaloures,176000000,0.0074715909090909095,Instagram
camilladelucas,108000000,0.019,Instagram
camilo,264000000,0.009556818181818182,Instagram
camimendes,268000000,0.041044776119402986,Instagram
canelo,128000000,0.0015859375,Instagram
canyaman,93000000,0.034881720430107524,Instagram
caradelevingne,433000000,0.0030046189376443416,Instagram
carlinhosmaiaof,248000000,0.017818548387096775,Instagram
carryminati,15000000,0.5905333333333334,Instagram
casemiro,14000000,0.107,Instagram
caviarmagnat,133000000,0.011172932330827067,Instagram
cazzu,98000000,0.04042857142857143,Instagram
cbum,66000000,0.037681818181818184,Instagram
celestebarber,89000000,0.04098876404494382,Instagram
chaelincl,98000000,0.002642857142857143,Instagram
championsleague,914000000,0.0027932166301969366,Instagram
channingtatum,17000000,0.16005882352941175,Instagram
charles_leclerc,66000000,0.0718030303030303,Instagram
charlidamelio,477000000,0.031446540880503145,Instagram
charlieputh,157000000,0.020414012738853505,Instagram
chelseafc,332000000,0.0034849397590361445,Instagram
chiaraferragni,267000000,0.001393258426966292,Instagram
chloegmoretz,201000000,0.014572139303482588,Instagram
choi_seung_hyun_tttop,136000000,0.024830882352941175,Instagram
choquei,17000000,0.053,Instagram
chrisbrownofficial,106000000,0.014820754716981133,Instagram
chrisevans,148000000,0.013513513513513514,Instagram
chrishemsworth,54000000,0.1438148148148148,Instagram
chrissyteigen,374000000,0.00042245989304812837,Instagram
ciara,313000000,0.0063706070287539935,Instagram
claaragalle,32000000,0.132875,Instagram
claireholt,74000000,0.041094594594594594,Instagram
claragnds,64000000,0.02396875,Instagram
clean_0828,55000000,0.23636363636363636,Instagram
cocielo,178000000,0.020258426966292136,Instagram
coldplay,154000000,0.0017792207792207792,Instagram
cole.labrant,5000000,0.8252,Instagram
colesprouse,36000000,0.09797222222222222,Instagram
colleen,75000000,0.049106666666666667,Instagram
conangray,57000000,0.13778947368421052,Instagram
courteneycoxofficial,121000000,0.02643801652892562,Instagram
cristiano,4196000000,0.013584366062917064,Instagram
cvillaloboss,192000000,0.012880208333333334,Instagram
cznburak,329000000,0.018699088145896655,Instagram
d_a___m_i,43000000,0.2558139534883721,Instagram
d_degeaofficial,129000000,0.023782945736434108,Instagram
daddyyankee,449000000,0.028953229398663696,Instagram
dagelan,206000000,0.004048543689320388,Instagram
danbilzerian,328000000,0.039634146341463415,Instagram
danialves,357000000,0.004778711484593838,Instagram
daniel.k.here,48000000,0.09560416666666667,Instagram
danielricciardo,66000000,0.05471212121212121,Instagram
dannapaola,335000000,0.027808955223880598,Instagram
daquan,168000000,0.02167857142857143,Instagram
darshanravaldz,148000000,0.013912162162162163,Instagram
dava_m,137000000,0.0012116788321167883,Instagram
davidalaba,85000000,0.035458823529411765,Instagram
